"","Age_group","Gender","Institute_type","Internet_access","Device","Miss_classes","Platforms","Hours_of_classes","Class_duration","Breaks","Screen_time","Support","Support_type","Attendance","Attendance_relative","Attendance_reason","Participation","Patricipation_screen","Patricipation_teacher_camera_off","Patricipation_camera_off","Participation_login","Participation_distractions","Participation_bored","Participation_class_time","Participation_material","Participation_glitches","Participation_open_book","Participation_teachers","Participation_teacher_encouragement","Participation_exhausted","Help_needed","Feeling","Connection","Routine","Look_forward_to","Miss_classmates","Burden","Enjoyment","Progress","Stress_frustration","Open_book_interest","Social_media","Social_media_forward","Mood"
"1","Undergraduate Students (Adults aged 18 yrs and above )","Male","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","5 hours","More than 45 minutes  but less than 1 hour","No","10 to 12 Hrs","Not at all","EBooks","50-69%","Little Lesser","You are exhausted with online learning, Because of OBE pattern I no longer feel like attending lectures, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Disagree","Strongly disagree","Strongly disagree","Agree","Disagree","Strongly disagree","Agree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Relieved","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Agree",4,1,4,5,1,2,"Hopeful"
"2","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Meet, Cisco WebEx","More than 5 hours","More than 45 minutes  but less than 1 hour","No","6 to 8 Hrs","Not at all","Presentations, Videos, Links to Educational Material","30-49%","Much Lesser","You are exhausted with online learning, You do not enjoy participating in online classes, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked, Listening Passively in classes","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Strongly agree",4,1,4,5,2,2,"Overworked"
"3","Undergraduate Students (Adults aged 18 yrs and above )","Female","Privately Owned","Yes","Tablet/iPad","No","Zoom, Google Classroom, Google Meet","4 hours","More than 45 minutes  but less than 1 hour","No","6 to 8 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Much Lesser","Your attendance is low for those classes that are very late in the afternoon / evening, You do not enjoy participating in online classes, Because of OBE pattern I no longer feel like attending lectures","Listening Passively in classes","Strongly agree","Disagree","Agree","Agree","Disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined","Tired","Strongly disagree","Agree","Disagree","Strongly agree","Strongly agree",2,3,4,5,2,1,"Tired of phone and computer"
"4","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Much Lesser","Your attendance is low for those classes that are very early in the morning, Because of OBE pattern I no longer feel like attending lectures, I am discontented with the way some of my teachers are teaching online","Just joining the class and not paying attention purpose is to get attendance marked","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Disagree","Disagree","Strongly disagree","Strongly agree","Agree",5,2,5,5,2,1,"Optimistic"
"5","Secondary / Senior Secondary Students (aged 14-18 yrs)","Female","Privately Owned","Yes","Laptop/ Desktop","No","Microsoft Teams","4 hours","Less than 45 mins","No","6 to 8 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, One to One mentoring Sessions if required, EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class, Presenting my work to the class and teachers during an online session, Discussing topics with teachers and peers in class, Switching on my Camera in class, Doing and submitting assignments/ projects/ research work assigned in time","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Strongly agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined","Exhausted","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Neither agree nor disagree",2,4,3,4,5,1,"Overworked"
"6","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Google Meet","More than 5 hours","More than 45 minutes  but less than 1 hour","Yes","More than 12 hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group, EBooks, Presentations, Videos, Links to Educational Material","50-69%","Much Lesser","You are exhausted with online learning, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Listening Passively in classes, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Disagree","Neither agree nor disagree","Agree","Agree","Strongly agree","Disagree","Disagree","Strongly agree","Agree","Agree","Disagree","Strongly agree","Training on how to attend classes online more effectively, Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests","Exhausted","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",3,2,5,3,3,2,"Frustrated"
"7","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","Yes but only Sometimes","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Not at all","EBooks, Presentations, Videos, Links to Educational Material","90-100%","Almost the Same","It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Presenting my work to the class and teachers during an online session, Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Disagree","Agree","Strongly disagree","Disagree","Neither agree nor disagree","Agree","Strongly disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Strongly agree","Working on myself as a student - avoiding distractions and being more disciplined, Pursuing my personal projects/research interests, Giving Online tests-assignments and exams","Exhausted","Disagree","Neither agree nor disagree","Strongly disagree","Strongly agree","Strongly agree",2,4,4,1,1,1,"Overworked"
"8","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes (but with bandwidth and connectivity issues)","Mobile Phone","Yes but only Sometimes","Google Meet","4 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Yes but insufficient","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc","70-89%","Little Lesser","You are exhausted with online learning, Technological glitches with platform/internet, I am discontented with the way some of my teachers are teaching online","Doing and submitting assignments/ projects/ research work assigned in time","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Agree","Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Attempting group projects/ activities with other students","Tired","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Neither agree nor disagree",2,2,2,1,2,1,"Depressed"
"9","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Laptop/ Desktop","No","Zoom, Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","No","10 to 12 Hrs","Yes but insufficient","Collaborative work and events to keep us connected as a group","90-100%","Much More","It has not decreased","Listening Passively in classes","Strongly agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Training on how to attend classes online more effectively, Pursuing my personal projects/research interests, Attempting group projects/ activities with other students","Exhausted","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Strongly disagree",3,3,5,5,3,1,"Tired of phone and computer"
"10","Undergraduate Students (Adults aged 18 yrs and above )","Female","Government Owned","Yes","Mobile Phone","No","Google Classroom, Google Meet","More than 5 hours","Between 1 hour - 1.5 hours","Yes","8 to 10 Hrs","Yes","Basic training in how to learn online , take classes, do collaborative work  and submit assessments etc, Presentations, Videos, Links to Educational Material, Our teachers provide the required study material and other references too.","90-100%","Much More","It has not decreased, Technological glitches with platform/internet, It has not decreased","Listening Attentively in classes and taking notes, Asking my doubts and queries in class, Answering the questions asked by teachers or others during the class","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Agree","Neither agree nor disagree","Strongly disagree","Strongly disagree","Strongly agree","Training on creating ppts- pdfs- videos- using collaborative tools etc., Finding Ebooks-worksheets-study material etc. for learning from Internet, Receiving feedback from teachers, Working on myself as a student - avoiding distractions and being more disciplined, Attempting group projects/ activities with other students","Tired","Disagree","Disagree","Neither agree nor disagree","Strongly agree","Strongly agree",3,3,3,1,2,1,"Frustrated"
